Region,MedialTemporal,RightParietalTemporal,LeftParietalTemporal,Precuneus,Occipital,LateralFrontal,Sensorimotor,Orbitofrontal
rh_medialorbitofrontal,4.80916270394719e-05,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.283417559444581
rh_middletemporal,0.00191567276575092,0.451484317129226,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
rh_paracentral,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.314532144050075,2.2970116811047e-07
rh_parahippocampal,0.291662003126316,0.0325310859207492,9.97922118490851e-17,2.40685353881602e-09,0.00133302901395618,9.97922118490851e-17,1.31604636863043e-05,0.0311759463170888
rh_parsopercularis,9.97922118490851e-17,0.0687371242296718,9.97922118490851e-17,6.3865491136553e-09,4.54923065151823e-09,0.204153747237136,0.0318615139736474,0.0200171279665859
rh_parsorbitalis,9.97922118490851e-17,1.13021828729967e-12,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.221563125284405,2.63228351403066e-09,0.0900116539171911
rh_parstriangularis,9.97922118490851e-17,9.13574871675036e-14,9.97922118490851e-17,9.97922118490851e-17,6.80190330813235e-08,0.226871114068444,0.0617282192076216,0.0256390388148071
rh_pericalcarine,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.194480370474691,9.97922118490851e-17,0.155963146059038,5.87504848582764e-09
rh_postcentral,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,1.63033046607196e-06,9.97922118490851e-17,0.298055849769084,2.01594715059208e-13
rh_posteriorcingulate,9.97922118490851e-17,0.000182653990190425,9.97922118490851e-17,0.194685394744762,9.97922118490851e-17,2.70222587736533e-05,1.63949666939751e-09,0.12520452601603
rh_precentral,9.97922118490851e-17,9.17694693263634e-12,9.97922118490851e-17,9.97922118490851e-17,0.00125746123972263,0.00484006568502463,0.301096751213242,2.2821607584502e-08
rh_precuneus,9.97922118490851e-17,1.12960640739381e-08,9.97922118490851e-17,0.333916443481853,0.0245976341612712,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
rh_rostralanteriorcingulate,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,1.29836745131504e-13,0.266363632511954
rh_rostralmiddlefrontal,9.97922118490851e-17,0.00374342725771783,9.97922118490851e-17,2.50901121711322e-05,9.97922118490851e-17,0.308136984223701,9.97922118490851e-17,9.97922118490851e-17
rh_superiorfrontal,9.97922118490851e-17,0.0294226061371255,9.97922118490851e-17,1.71952249635778e-05,2.40351944317214e-11,0.183697597153537,0.000481613753757158,0.0717479182629724
rh_superiorparietal,9.97922118490851e-17,9.66401998237372e-05,9.97922118490851e-17,0.147873413740511,0.194355275567382,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
rh_superiortemporal,0.000724132584830669,0.17359625741286,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.0761222773334244,0.0914842524381316
rh_supramarginal,9.97922118490851e-17,0.140134168619423,9.97922118490851e-17,0.14429033675313,0.0101290123410704,0.00880635705975684,0.0581488288846806,6.81149074310478e-10
rh_temporalpole,0.300083009789747,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,1.26376743148391e-15,0.0433135317415435
rh_transversetemporal,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.67852216612604e-13,9.97922118490851e-17,0.223994768172257,0.0638686698971259
