Region,MedialTemporal,RightParietalTemporal,LeftParietalTemporal,Precuneus,Occipital,LateralFrontal,Sensorimotor,Orbitofrontal
lh_pericalcarine,3.71522333353774e-17,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,0.0478151148263509,3.04772009766612e-17,0.0682716256714637,5.10988044217057e-11
lh_postcentral,3.71522333353774e-17,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,2.89859775046166e-11,3.40042224778661e-05,0.0947458498806687,4.28639620055876e-16
lh_posteriorcingulate,9.85675764384027e-11,4.40004184954833e-17,0.000109143911568715,0.0699583264348888,3.67508471034948e-17,3.64676070901604e-05,2.12664830566861e-08,0.0338131927953687
lh_precentral,3.71522333353774e-17,4.40004184954833e-17,4.09866612775915e-05,3.4810435974743e-17,0.000709222726448829,0.00739839795323782,0.0889850550647212,5.89820189806961e-11
lh_precuneus,3.71522333353774e-17,4.40004184954833e-17,1.26611963242422e-05,0.125879637083364,3.67508471034948e-17,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
lh_rostralanteriorcingulate,3.71522333353774e-17,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,6.77070147081729e-14,0.0744588626590165
lh_rostralmiddlefrontal,3.71522333353774e-17,4.40004184954833e-17,2.26085148377698e-09,6.51044967779182e-06,3.67508471034948e-17,0.094276295692091,3.16924148242712e-17,2.79416022805089e-17
lh_superiorfrontal,2.33728240452047e-08,4.40004184954833e-17,0.00388220470910904,0.00263600678853488,1.91985843752048e-11,0.0639547713797444,0.0112229441471376,0.00764753468788356
lh_superiorparietal,3.71522333353774e-17,4.40004184954833e-17,0.0206065140244205,0.0523350645284524,0.0527984896938177,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
lh_superiortemporal,5.43873374287257e-05,4.40004184954833e-17,0.0813295402250098,3.4810435974743e-17,3.67508471034948e-17,5.447727276554e-13,0.0053308883823481,0.0289469883482558
